stop_id,stop_name,latitude,longitude
811384,Balfour Rd & Clearview Dr,37.925505,-121.719073
811397,Balfour Rd & Minnesota Ave,37.925512,-121.714366
811402,Balfour Rd & Griffith Ln,37.925586,-121.705982
811418,Walnut Blvd & Balfour Rd,37.92662,-121.696342
811425,Brentwood Park n Ride,37.933838,-121.698755
811439,Walnut Blvd & Orchard Dr,37.92833,-121.695972
811441,Balfour Rd & Griffith Ln,37.925346,-121.704405
811456,Balfour Rd & Claremont Dr,37.925281,-121.714289
811460,Balfour Rd & McViking Wy,37.925212,-121.721176
811473,Fairview Ave & Central Blvd,37.932102,-121.72376
811487,Fairview Ave & San Jose Ave,37.939536,-121.723989
811494,Fairview Ave & Sand Creek Rd,37.943527,-121.723734
811500,Laurel Rd & Hillcrest Ave,37.970829,-121.760475
811516,Laurel Rd & Canada Hills Wy,37.972322,-121.758858
811528,Laurel Rd & Kushner Wy,37.974863,-121.75792
811537,Canada Valley Rd & Canada Hills Dr,37.974051,-121.7542
811544,Canada Valley Rd & Palomino Wy,37.971925,-121.752665
811559,Canada Valley Rd & Vista Grande Dr,37.969365,-121.750482
811563,Canada Valley Rd & McFarlan Ranch Wy,37.96639,-121.747289
811571,Canada Valley Rd & Lone Tree Wy,37.962728,-121.747241
811585,Canada Valley Rd & Lone Tree Wy,37.962017,-121.747534
811592,Canada Valley Rd & McFarlan Ranch Wy,37.966201,-121.747369
811603,Canada Valley Rd & Vista Grande Dr,37.968817,-121.750498
811619,Canada Valley Rd & Palomino Wy,37.971475,-121.75229
811626,Canada Valley Rd & Canada Hills Dr,37.973553,-121.75417
811635,Laurel Rd & Kushner Wy,37.974831,-121.757554
811642,Laurel Rd & Canada Hills Dr,37.972022,-121.758658
811657,Laurel Rd & Hillcrest Ave,37.970812,-121.76004
811674,Wildflower Dr & Hillcrest Ave,37.98812,-121.782392
811690,Hillcrest Ave & Bellflower Dr,37.983338,-121.770818
811707,Hillcrest Ave & Wild Horse Rd,37.982215,-121.766942
811711,Hillcrest Ave & Hidden Gln Dr,37.977685,-121.762527
811730,Hillcrest Ave & Laurel Rd,37.970526,-121.760364
811748,Hillcrest Ave & Country Hills Dr,37.966858,-121.759895
811753,Hillcrest Ave & Lone Tree Wy,37.962376,-121.75978
811769,Lone Tree Wy & Deer Valley Plz,37.967342,-121.784422
811776,Lone Tree Wy & Black Diamond Dr,37.969311,-121.79004
811782,Lone Tree Wy & Dallas Ranch Rd,37.970867,-121.795192
811795,Lone Tree Wy & Golf Course Rd,37.976459,-121.802077
811805,Lone Tree Wy & Clayburn Rd,37.98304,-121.805847
811814,Lone Tree Wy & Davison Dr,37.9846,-121.80598
811822,Lone Tree Wy & Clearbrook Rd,37.98703,-121.806644
811833,Lone Tree Wy & Terranova Dr,37.989536,-121.807774
811846,Lone Tree Wy & Robert St,37.992027,-121.807895
811851,Lone Tree Wy & West Tregallas Rd,37.99524,-121.807668
811879,A St & Belshaw St,37.999926,-121.806159
811880,A St & East 19th St,38.004323,-121.806159
811898,A St & West 16th St,38.006063,-121.806142
811908,A St & East 13th St,38.008767,-121.806141
811912,A St & West 6th St,38.013789,-121.806289
811920,West 6th St & A St,38.013985,-121.806376
811949,West 4th St & J St,38.015427,-121.817763
811954,L St & West 5th St,38.015018,-121.819615
811965,L St & West 9th St,38.011809,-121.819615
811983,L St & West 18th St,38.005945,-121.819629
811996,L St & William Reed Dr,38.004339,-121.819901
812006,Sycamore Dr & Lemontree Wy,38.004201,-121.821887
812010,Sycamore Dr & Banyan Wy,38.004881,-121.825108
812023,Sycamore Dr & Spanos St,38.005291,-121.82758
812034,Sycamore Dr & Canal,38.00557,-121.830745
812047,Auto Center Dr & Sycamore Dr,38.005931,-121.834741
812052,Delta Fair Blvd & Somersville Towne Center,38.003644,-121.841802
812068,Delta Fair Blvd & Kendree St,38.003001,-121.847186
812075,Delta Fair Blvd & School St,38.003651,-121.850311
812081,Delta Fair Blvd & Belle Dr,38.005453,-121.854222
812109,East Leland Rd & Commerce Pl,38.008195,-121.864655
812113,East Leland Rd & Loveridge Rd,38.007926,-121.870225
812121,Loveridge Rd & Hwy 4,38.011007,-121.869082
812132,Pittsburg Antioch Hwy & Loveridge Rd,38.015176,-121.860563
812145,Columbia St & East 14th St,38.019841,-121.873846
812166,East 12th St & Pine St,38.023319,-121.876156
812178,Harbor St & East Santa Fe Ave,38.024756,-121.879245
